"team_won","first_team","second_team","category"
"Trinbago","Guyana Amazon Warriors 156/7 (20/20 ov)","Trinbago Knight Riders 162/3","T20L"
"St","St Kitts and Nevis Patriots 196/6 (20/20 ov)","St Lucia Stars 163/8","T20L"
"Trinbago","Barbados Tridents 152/9 (20/20 ov)","Trinbago Knight Riders 155/8","T20L"
"Guyana","St Lucia Stars 152/8 (20/20 ov)","Guyana Amazon Warriors 153/4","T20L"
"Trinbago","St Kitts and Nevis Patriots 158/7 (20/20 ov)","Trinbago Knight Riders 161/6","T20L"
"Jamaica","St Lucia Stars 173/7 (20/20 ov)","Jamaica Tallawahs 179/5","T20L"
"Jamaica","Jamaica Tallawahs 128/7 (20/20 ov)","Guyana Amazon Warriors 126/4","T20L"
"St","Barbados Tridents 168/6 (20/20 ov)","St Kitts and Nevis Patriots 84/1 (9.3/9.3 ov, target: 68)



 Scorecard

	Report

	Photos","T20L"
"Trinbago","Guyana Amazon Warriors 130/5 (20/20 ov)","Trinbago Knight Riders 131/3","T20L"
"Guyana","Barbados Tridents 159/4 (20/20 ov)","Guyana Amazon Warriors 160/6","T20L"
"St","St Kitts and Nevis Patriots 208/3 (20/20 ov)","Jamaica Tallawahs 171/7","T20L"
"Guyana","St Lucia Stars 100/7 (20/20 ov)","Guyana Amazon Warriors 101/3","T20L"
"Trinbago","St Kitts and Nevis Patriots 162/3 (13/13 ov)","Trinbago Knight Riders 88/2","T20L"
"Jamaica","St Lucia Stars 172/8 (20/20 ov)","Jamaica Tallawahs 176/4","T20L"
"Trinbago","Trinbago Knight Riders 208/6 (20/20 ov)","Jamaica Tallawahs 172/7","T20L"
"Guyana","Guyana Amazon Warriors 158/8 (20/20 ov)","Barbados Tridents 59","T20L"
"Jamaica","Jamaica Tallawahs 157/5 (20/20 ov)","St Kitts and Nevis Patriots 116","T20L"
"Barbados","Barbados Tridents 195/4 (20/20 ov)","St Lucia Stars 166/4","T20L"
"Guyana","Jamaica Tallawahs 149/7 (20/20 ov)","Guyana Amazon Warriors 150/1","T20L"
"Barbados","Barbados Tridents 136/9 (20/20 ov)","Trinbago Knight Riders 120","T20L"
"St","Barbados Tridents 128/9 (20/20 ov)","St Kitts and Nevis Patriots 129/0","T20L"
"St","St Kitts and Nevis Patriots 149/7 (20/20 ov)","Trinbago Knight Riders 111","T20L"
"Guyana","Jamaica Tallawahs 168/8 (20/20 ov)","Guyana Amazon Warriors 169/5","T20L"
"Trinbago","Guyana Amazon Warriors 159/6 (20/20 ov)","Trinbago Knight Riders 160/4","T20L"
"Trinbago","St Kitts and Nevis Patriots 135/6 (20/20 ov)","Trinbago Knight Riders 136/7","T20L"
